Product,Color,Size,Attr 2 Name,Qty Avail Now,Qty WIP,Due WIP
10000,BLA,0,BLACK,0.00,0.00,
10000,BLA,10,BLACK,0.00,0.00,
10000,BLA,12,BLACK,0.00,0.00,
10000,BLA,14,BLACK,0.00,0.00,
10000,BLA,2,BLACK,0.00,0.00,
10000,BLA,4,BLACK,0.00,0.00,
10000,BLA,6,BLACK,0.00,0.00,
10000,BLA,8,BLACK,0.00,0.00,
10000,BLA,D0,BLACK,0.00,0.00,
24653,BLA,0,BLACK,0.00,0.00,
24653,BLA,10,BLACK,0.00,0.00,
24653,BLA,12,BLACK,0.00,0.00,
24653,BLA,14,BLACK,0.00,0.00,
24653,BLA,16,BLACK,0.00,0.00,
24653,BLA,2,BLACK,0.00,0.00,
24653,BLA,4,BLACK,0.00,0.00,
24653,BLA,6,BLACK,0.00,0.00,
24653,BLA,8,BLACK,0.00,0.00,
24653,DIW,0,Diamond White,0.00,0.00,
24653,DIW,10,Diamond White,0.00,0.00,
24653,DIW,12,Diamond White,0.00,0.00,
24653,DIW,14,Diamond White,0.00,0.00,
24653,DIW,16,Diamond White,0.00,0.00,
24653,DIW,2,Diamond White,0.00,0.00,
24653,DIW,4,Diamond White,0.00,0.00,
24653,DIW,6,Diamond White,0.00,0.00,
24653,DIW,8,Diamond White,0.00,0.00,
24653,MAG,0,MAGENTA,0.00,0.00,
24653,MAG,10,MAGENTA,0.00,0.00,
24653,MAG,12,MAGENTA,0.00,0.00,
24653,MAG,14,MAGENTA,0.00,0.00,
24653,MAG,16,MAGENTA,0.00,0.00,
24653,MAG,2,MAGENTA,0.00,0.00,
24653,MAG,4,MAGENTA,0.00,0.00,
24653,MAG,6,MAGENTA,0.00,0.00,
24653,MAG,8,MAGENTA,0.00,0.00,
24653,RED,0,RED,0.00,0.00,
24653,RED,10,RED,0.00,0.00,
24653,RED,12,RED,0.00,0.00,
24653,RED,14,RED,0.00,0.00,
24653,RED,16,RED,0.00,0.00,
24653,RED,2,RED,0.00,0.00,
24653,RED,4,RED,0.00,0.00,
24653,RED,6,RED,0.00,0.00,
24653,RED,8,RED,0.00,0.00,
24653,ROY,0,ROYAL,0.00,0.00,
24653,ROY,10,ROYAL,0.00,0.00,
24653,ROY,12,ROYAL,0.00,0.00,
24653,ROY,14,ROYAL,0.00,0.00,
24653,ROY,16,ROYAL,0.00,0.00,
24653,ROY,2,ROYAL,0.00,0.00,
24653,ROY,4,ROYAL,0.00,0.00,
24653,ROY,6,ROYAL,0.00,0.00,
24653,ROY,8,ROYAL,0.00,0.00,
24653,YEL,0,YELLOW,0.00,0.00,
24653,YEL,10,YELLOW,0.00,0.00,
24653,YEL,12,YELLOW,0.00,0.00,
24653,YEL,14,YELLOW,0.00,0.00,
24653,YEL,16,YELLOW,0.00,0.00,
24653,YEL,2,YELLOW,0.00,0.00,
24653,YEL,4,YELLOW,0.00,0.00,
24653,YEL,6,YELLOW,0.00,0.00,
24653,YEL,8,YELLOW,0.00,0.00,
25903,IHP,D0,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,0,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,2,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,4,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,6,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,8,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,10,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,12,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,14,IRIDESCENT HOT PINK,0.00,0.00,
25903,IHP,16,IRIDESCENT HOT PINK,0.00,0.00,
25903,IRN,D0,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,0,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,2,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,4,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,6,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,8,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,10,IRIDESCENT NAVY,0.00,0.00,
25903,IRN,12,IRIDESCENT NAVY,0.00,0.00,
