"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"200       ","GOLD                                              ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","1         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","116.00    ","116.00         ","S24   ","S24        "
"200       ","ICE LILAC                                         ","ME         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","116.00    ","116.00         ","S24   ","S24        "
"201       ","GOLD                                              ","AL         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"201       ","NAVY                                              ","AL         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"202       ","BLACK                                             ","BG         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","166.00    ","166.00         ","S24   ","S24        "
"204       ","SILVER-FRENCH BLUE                                ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"204       ","BLACK-CHARCOAL                                    ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.50    ","119.50         ","S24   ","S24        "
"206       ","FUCHSIA                                           ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"206       ","MIDNIGHT                                          ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","83.00     ","83.00          ","S24   ","S24        "
"207       ","ROYAL                                             ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.50     ","99.50          ","S24   ","S24        "
"207       ","FUCHSIA                                           ","ME         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","1         ","2         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","99.50     ","99.50          ","S24   ","S24        "
"209       ","RASPBERRY                                         ","BG         ","0         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","199.50    ","199.50         ","S24   ","S24        "
"210       ","BLACK                                             ","ME         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","95.00     ","95.00          ","S24   ","S24        "
"210       ","CRANBERRY                                         ","ME         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","95.00     ","95.00          ","S24   ","S24        "
"211       ","ROYAL                                             ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"211       ","FUCHSIA                                           ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"211       ","MIDNIGHT                                          ","ST         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
"211       ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66.00     ","66.00          ","S24   ","S24        "
