"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"1387      ","MILKY WHITE                                       ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","139.00    ","139.00         ","S19   ","S23        "
"1427      ","ROSE TAUPE                                        ","FF         ","0         ","1         ","0         ","0         ","0         ","1         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","89.40     ","149.00         ","S19   ","S23        "
"1707      ","BLACK                                             ","JS         ","1         ","0         ","0         ","2         ","0         ","0         ","4         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.40    ","199.00         ","S22   ","F23        "
"1707      ","IVORY                                             ","JS         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","119.40    ","199.00         ","S22   ","F23        "
"1722      ","BARBIE PINK                                       ","FY         ","5         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","49.98     ","149.00         ","S22   ","S22        "
"1761      ","NEON ORANGE                                       ","AL         ","0         ","0         ","0         ","0         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","72.00     ","144.00         ","S23   ","S23        "
"1889      ","BLACK                                             ","BG         ","0         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","97.30     ","139.00         ","S25   ","S25        "
"3768      ","ROYAL                                             ","FF         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","124.00    ","134.00         ","F24   ","F24        "
"4646      ","BLACK                                             ","SH         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F23   ","F23        "
"4646      ","HOT CORAL                                         ","SH         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F23   ","F23        "
"4646      ","BLUE IRIS                                         ","SH         ","0         ","0         ","0         ","0         ","1         ","2         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F23   ","F23        "
"4646      ","CARIBBEAN                                         ","SH         ","0         ","0         ","0         ","0         ","0         ","1         ","3         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F23   ","F23        "
"4646      ","NEON PURPLE                                       ","SH         ","0         ","0         ","0         ","0         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","169.00    ","169.00         ","F23   ","F23        "
